,1.0,0.5,0.4,0.3,0.2,0.1,0.05,0.01,0.001,0.0001,1e-05,1e-06
70,2246,3641,4451,5636,6905,6997,7015,7015,7016,7015,7018,7018
71,2256,3651,4461,5656,6997,7097,7115,7115,7116,7115,7118,7118
72,2268,3663,4473,5678,7078,7195,7214,7214,7215,7214,7217,7217
73,2278,3673,4483,5698,7165,7295,7314,7314,7315,7314,7317,7317
74,2289,3684,4494,5716,7244,7395,7414,7414,7415,7414,7417,7417
75,2299,3694,4504,5733,7327,7495,7514,7514,7515,7514,7517,7517
76,2309,3704,4514,5752,7404,7595,7614,7614,7615,7614,7617,7617
77,2319,3714,4524,5766,7481,7695,7714,7714,7715,7714,7717,7717
78,2333,3728,4538,5783,7533,7795,7814,7814,7815,7814,7817,7817
79,2345,3740,4550,5797,7600,7895,7914,7914,7915,7914,7917,7917
80,2358,3753,4563,5814,7648,7992,8012,8012,8013,8012,8015,8015
81,2367,3762,4572,5829,7703,8091,8111,8111,8112,8111,8114,8114
82,2378,3773,4583,5849,7757,8189,8211,8211,8212,8211,8214,8214
83,2390,3785,4595,5866,7812,8288,8310,8310,8311,8310,8313,8313
84,2402,3797,4607,5881,7870,8387,8409,8409,8410,8409,8412,8412
85,2414,3809,4619,5894,7917,8484,8509,8509,8510,8509,8512,8512
86,2425,3820,4630,5906,7971,8584,8609,8609,8610,8609,8612,8612
87,2436,3831,4641,5918,8014,8684,8709,8709,8710,8709,8712,8712
88,2444,3839,4649,5926,8055,8784,8809,8809,8810,8809,8812,8812
89,2456,3851,4661,5938,8098,8884,8909,8909,8910,8909,8912,8912
90,2470,3865,4675,5952,8127,8981,9006,9006,9007,9006,9009,9009
91,2480,3875,4685,5962,8163,9081,9106,9106,9107,9106,9109,9109
92,2491,3886,4696,5973,8196,9181,9206,9206,9207,9206,9209,9209
93,2503,3898,4708,5985,8231,9281,9306,9306,9307,9306,9309,9309
94,2515,3910,4720,5997,8257,9380,9406,9406,9407,9406,9409,9409
95,2526,3921,4731,6008,8280,9478,9505,9504,9505,9504,9508,9508
96,2540,3935,4745,6022,8305,9574,9602,9601,9602,9601,9605,9605
97,2550,3945,4755,6032,8323,9672,9700,9698,9699,9698,9702,9702
98,2563,3958,4768,6045,8347,9770,9797,9797,9799,9798,9802,9802
99,2575,3970,4780,6057,8369,9869,9897,9896,9898,9897,9901,9901
